Artist Name,Artist ID,Genres
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']"
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,"['dance pop', 'pop', 'talent show']"
Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Pitbull,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']"
Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
James Hype,43BxCL6t4c73BQnIJtry5v,"['deep groove house', 'house', 'pop dance', 'uk dance']"
Miggy Dela Rosa,45ruzGUmIr8WLjLOPJ9mGU,"['dance pop', 'pop dance']"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
Hannah Montana,7nU4hB040gTmHm45YYMvqc,"['pop', 'post-teen pop']"
Iyaz,5tKXB9uuebKE34yowVaU3C,"['dance pop', 'pop rap', 'post-teen pop']"
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['pop', 'post-teen pop']"
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']"
John Newman,34v5MVKeQnIo0CWYMbbrPf,['dance pop']
