Artist Name,Artist ID,Genres
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']"
DNCE,6T5tfhQCknKG4UnH90qGnz,"['dance pop', 'pop']"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop']
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,"['dance pop', 'pop']"
Ofenbach,4AKwRarlmsUlLjIwt38NLw,['pop dance']
Norma Jean Martine,2fsk4VlJdNF6G8cCMDrrzB,['nyc pop']
Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']"
MNEK,7uMh23xWiuR7zsNkuNcm2G,"['house', 'pop dance', 'uk contemporary r&b', 'uk dance', 'uk pop']"
Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,"['escape room', 'hip house', 'lgbtq+ hip hop', 'trap queen']"
Lazy Jay,4vUAD0POkGvO6J9c9hv6qR,['belgian edm']
Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,"['pop rap', 'seattle hip hop']"
Macklemore,3JhNCzhSMTxs9WLGJJxWOY,"['pop rap', 'seattle hip hop']"
Ryan Lewis,4myTppRgh0rojLxx8RycOp,['pop rap']
Ray Dalton,4e0nWw2r4BoQSKPQ2zpU13,['pop dance']
Alok,0NGAZxHanS9e0iNHpR8f2W,"['electro house', 'pop nacional', 'slap house']"
Ella Eyre,66TrUkUZ3RM29dqeDQRgyA,"['dance pop', 'talent show', 'uk dance', 'uk pop']"
Kenny Dope,1TrfxjXu8quyDw05p2bacX,"['chicago house', 'deep house', 'soulful house']"
Never Dull,2u3rmzZC0psTER2sDfUebm,['funky house']
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']"
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,['pop']
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']"
Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
PNAU,6n28c9qs9hNGriNa72b26u,"['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']"
The Killers,0C0XlULifJtAgn6ZNCW2eu,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'pop']"
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,"['dance pop', 'pop']"
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop']
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,"['pop', 'pop dance', 'tropical house', 'uk dance']"
JP Cooper,4kYGAK2zu9EAomwj3hXkXy,['uk pop']
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']"
P!nk,1KCSPY1glIKqW2TotWuXOR,"['dance pop', 'pop']"
Grandmaster Melle Mel,0AWhixY9hX7LEPyPMjh4O0,"['bronx hip hop', 'east coast hip hop', 'old school hip hop']"
